Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
APSM07CWEB1,Species richness,19,31.464788732394368,9.521331600999968,19,50.12625575521739
APSM07CWEB1,Shannon diversity,6.6810090712546595,6.965159536592351,0.5451339161793791,5.89671669412949,8.03360237905521
APSM07CWEB1,Simpson diversity,3.7896556908735533,3.819756838905769,0.33135161495498194,3.1703196073748208,4.469194070436717
APSM07MPYB3,Species richness,10,10.994444444444444,2.1306075694646505,10,15.170358545783579
APSM07MPYB3,Shannon diversity,4.974780748546217,5.129000584304273,0.354382951360778,4.434422762902138,5.8235784057064075
APSM07MPYB3,Simpson diversity,3.8334122101277828,3.895067698259173,0.2916534281643118,3.3234374830894824,4.466697913428864
HBSMCG13,Species richness,27,31.881918819188193,10.459587567901607,27,52.38233374541824
HBSMCG13,Shannon diversity,9.754401595630583,10.393544279583443,0.9313084303488043,8.568213297601257,12.218875261565628
HBSMCG13,Simpson diversity,5.571732038540322,5.667699457784671,0.5970509755188773,4.497501048833167,6.837897866736176
HBSMCG31,Species richness,36,80.97877358490567,34.95244192504694,36,149.4843009297255
HBSMCG31,Shannon diversity,8.21049790301881,8.33829627510859,0.24569474287817974,7.856743427876529,8.819849122340651
HBSMCG31,Simpson diversity,5.416832387219633,5.428146787660556,0.1365663044013517,5.160481749532173,5.695811825788939
x230723XBCG,Species richness,48,56.63527568922306,9.275858928530324,48,74.81562511481678
x230723XBCG,Shannon diversity,9.428124822170945,9.68406022437681,0.4990980013209652,8.705846117031793,10.662274331721825
x230723XBCG,Simpson diversity,4.156139868369716,4.16768842640442,0.2126107154447413,3.750979081405433,4.584397771403407
