Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
ETMH,Species richness,44,56.242241925269155,13.832004966706206,44,83.35247349399246
ETMH,Shannon diversity,14.53630594000182,14.799973520981984,0.48074472688066033,13.857731170538345,15.742215871425623
ETMH,Simpson diversity,7.658903036539852,7.6913593204015545,0.35808011063702005,6.989535199972877,8.393183440830231
HGMH31MH,Species richness,34,44.04693140794224,10.182665499524205,34,64.00458905362824
HGMH31MH,Shannon diversity,13.937190728875443,15.1978368002785,1.1691779909094715,12.906290046579038,17.489383553977962
HGMH31MH,Simpson diversity,8.278023519257742,8.502224199288252,0.8050399811565867,6.924374830106538,10.080073568469965
HGMH32,Species richness,37,58.07055412371134,30.375442786223296,37,117.60532799916598
HGMH32,Shannon diversity,14.313363245207867,15.463888416147253,0.9766038979270875,13.54977994904873,17.377996883245775
HGMH32,Simpson diversity,8.884796978281397,9.069582024643632,0.5531354701076945,7.985456424660918,10.153707624626344
RCMB091723,Species richness,41,66.59148369926814,27.11900079667133,41,119.74374855745697
RCMB091723,Shannon diversity,5.042224832724074,5.100540000571403,0.13721251060013276,4.8316084215668225,5.3694715795759835
RCMB091723,Simpson diversity,3.446487731757832,3.4492959381458044,0.06894094212986171,3.3141741745110154,3.5844177017805934
x70LW1RicesPit,Species richness,60,85.7437862950058,30.712237444705078,60,145.9386655712702
x70LW1RicesPit,Shannon diversity,28.02699392071532,30.17810271080783,1.4497495329837273,27.33664583955596,33.0195595820597
x70LW1RicesPit,Simpson diversity,19.509207200701503,20.11559769870022,1.058860795848916,18.040268674194927,22.190926723205514
