Assemblage,Diversity,Observed,Estimator,s.e.,LCL,UCL
APSM07CWEB1,Species richness,19,31.464387464387464,11.162383779426277,19,53.34225765367705
APSM07CWEB1,Shannon diversity,6.501808151080225,6.781855406770977,0.4181465040333212,5.962303318604335,7.601407494937619
APSM07CWEB1,Simpson diversity,3.709197651663406,3.738132911392397,0.27335690704413446,3.2023632186606306,4.273902604124164
APSM07MPYB3,Species richness,10,10.994444444444444,2.07291386749204,10,15.057280967782475
APSM07MPYB3,Shannon diversity,4.974780748546217,5.129000584304273,0.36689523325872875,4.409899141017743,5.848102027590803
APSM07MPYB3,Simpson diversity,3.8334122101277828,3.895067698259173,0.29194844435148487,3.3228592619877673,4.46727613453058
HBSMCG13,Species richness,29,37.07011070110701,9.136277754726795,29,54.976886053125995
HBSMCG13,Shannon diversity,9.936190154327486,10.701249235748591,0.8354474197242417,9.06380238211216,12.338696089385023
HBSMCG13,Simpson diversity,5.578503608051652,5.674732433690097,0.4989061980133662,4.696894253920091,6.652570613460103
HBSMCG31,Species richness,39,83.97877358490567,27.76776806344983,39,138.40259892032884
HBSMCG31,Shannon diversity,8.456506642000933,8.594561450596274,0.23501157384369256,8.133947229912561,9.055175671279986
HBSMCG31,Simpson diversity,5.440042606243268,5.451465323706085,0.14466753114420594,5.167922172931115,5.735008474481055
x230723XBCG,Species richness,56,74.04669728783902,13.73903493294918,56,100.97471093875708
x230723XBCG,Shannon diversity,9.767644008944895,10.11625501771881,0.5254242219393113,9.08644246611278,11.14606756932484
x230723XBCG,Simpson diversity,4.18081072172602,4.192488051801231,0.22435787757697498,3.752754692102514,4.632221411499948
